"","KB100","KB101","KB102","KB103","KB104","KB105","KB107","KB108","KB109","KB110","KB111","KB112","KB113","KB114","KB115","KB116","KB117","KB142","KB143","KB144","KB145","KB146","KB147","KB148","KB149","KB150","KB151","KB152","KB153","KB154","KB155","KB156","KB157","KB158","KB159","KB160","KB161","KB162","KB163","KB164","KB165","KB166","KB167","KB168","KB169","KB170","KB171","KB172","KB173","KB174","KB175","KB176","KB177","KB178","KB179","KB180","KB181","KB182","KB183","KB184","KB185","KB186","KB187","KB188","KB189","KB190","KB191","KB192","KB193","KB194","KB195","KB196","KB197","KB198","KB199","KB200","KB201","KB202","KB203","KB204","KB205","KB206","KB207","KB208","KB209","KB210","KB211","KB212","KB213","KB214","KB215","KB216","KB217","KB218","KB219","KB22","KB220","KB221","KB222","KB23","KB24","KB25","KB26","KB27","KB28","KB29","KB30","KB31","KB32","KB33","KB34","KB35","KB36","KB37","KB38","KB39","KB40","KB41","KB42","KB43","KB44","KB45","KB46","KB47","KB49","KB50","KB51","KB52","KB53","KB54","KB55","KB56","KB57","KB76","KB77","KB78","KB79","KB80","KB81","KB82","KB83","KB84","KB85","KB86","KB87","KB88","KB89","KB90","KB91","KB92","KB93","KB94","KB95","KB96","KB97","KB98","KB99"
"A0A075B6H9",304545,413137,94997.2,NA,NA,NA,NA,128957,58071.9,1281820,155077,122479,14867.3,199182,332314,NA,97321.9,281291,82234,117929,69725.5,2654110,1756640,396917,NA,110322,NA,69258.8,184231,NA,NA,82213.3,72013.4,152200,132102,216445,180220,74960.7,147992,NA,27758,31385.6,47691.9,86335.9,32371.5,215398,NA,NA,137890,37714.4,NA,NA,NA,201912,39726.5,NA,NA,218861,176719,NA,145140,321195,463773,96197.5,25842.2,34058.9,NA,238901,NA,NA,NA,407895,180069,55974.4,65855.2,151793,104359,145386,53372.6,27594.1,162307,168224,20973.7,58875.6,356996,NA,30834.4,429859,NA,NA,261364,311244,94787,363078,45838.6,NA,338588,74425.7,134627,NA,38732.3,16431.4,NA,89915.9,NA,NA,62144.1,NA,77234.9,95208.9,NA,77054.5,72815.8,34107.2,NA,5330.45,195283,7143.76,277544,NA,NA,NA,358736,NA,231386,NA,118577,60984.8,537111,NA,NA,143810,185996,194009,341642,NA,64631,75579.5,158117,NA,NA,NA,243193,59206,247312,81019.4,67232.8,NA,NA,452400,198999,18561.4,87812.7,132951,238625,71690.5,640644
"A0A075B7B8",196874,78972.1,86767.7,355547,185110,25905.4,157244,482514,111445,303422,152654,342118,115816,281366,240876,158339,193246,155305,39071,207860,141487,504296,1194020,258004,47832.1,NA,83907.9,242853,410669,165082,461900,119641,218624,250851,129915,275826,153476,44613.8,191431,595912,116211,22203.4,NA,157524,97133.5,91731.5,223405,84459.8,45077.5,34265.2,116074,26096.3,74311.8,54343.7,12473.2,92255.4,45577,443735,140677,73052.8,53802.1,201295,143832,268460,121877,24823.8,61494.9,462456,13782.2,NA,164449,244505,375482,85997,9925.71,48765.7,NA,91738.1,50550.9,55988.8,65857.9,299056,69005.1,81258.2,282895,NA,268151,526444,77564.4,98376.8,150112,212175,198874,344259,123873,530833,309953,65782.7,152798,NA,51719.1,130605,58919.7,380602,91642.1,29215.2,248529,157859,226364,677471,47530.4,242583,384059,101050,25145.3,159175,696757,56673.2,780013,NA,69145.4,81737.6,1134630,93658.5,350141,122222,75096.4,158591,1179670,77593.4,97063.9,354083,298081,376638,437547,16132.3,274560,166613,161472,120600,NA,432189,239542,167055,235166,242270,105593,548910,424321,436685,248541,112544,307245,237707,442619,81212.4,227083
"A0A0A0MTG1;A0A0G2JL52;A0A140TA35;A0A140TA36;Q5ST30",NA,101449,12896.4,55418.6,84813.8,NA,65747.5,NA,108904,NA,36975.2,43062.5,48447.2,16752.2,37287,NA,NA,63701.5,70801,48178.8,66447.7,57600.8,NA,92947.6,63484.7,NA,142641,104650,101191,NA,111680,27641.4,26132.4,70776.3,57930.9,38748.7,NA,NA,63408.4,NA,67521.2,14910,NA,115201,48766.8,105795,13487.4,72000.9,23208,72255.1,21952.4,76002.9,41364.5,33458.8,NA,48386.4,NA,42214.6,66053.7,149102,50432.8,NA,36559.5,38164.7,91869.9,NA,44298.1,53980.4,NA,38908.2,16599,NA,12782.4,54896.3,73620,71624.4,186807,131159,14189,33841.8,122113,111511,19881.7,46437.7,49564.4,53630.6,36789.3,46001.3,94603.2,NA,26447,NA,19773.8,74353.3,80348.2,NA,NA,18639.7,57878,145596,49473.7,68527.3,NA,154888,NA,NA,NA,NA,21744.4,NA,40716.1,NA,NA,74161.8,61598.6,40852.3,NA,67122.7,NA,96162.4,NA,17246.9,69444.4,NA,82097.3,55919.2,62866,153657,NA,68551.3,119772,80311.2,74517.6,80716.3,37996.7,43570.9,108201,72753.2,43892.9,NA,94882.4,NA,30648.2,47593.5,NA,69315.4,NA,NA,33979.7,134404,79300.7,82014.6,92792.2,52471.9,63799.7,48295,21935.3
"A0A0C4DH25",NA,NA,7388.49,NA,NA,NA,NA,89109.5,35784.3,NA,NA,69062.4,21705.4,55334.8,164592,9288.41,6964.22,70598.6,48303,60077.1,48277.5,NA,23497.6,NA,17556.2,34043.9,9331.73,13367.7,86784.5,NA,60252.9,16868.1,94660.3,40955,35519.8,123043,53980.5,NA,67755.3,NA,NA,NA,NA,NA,12008.3,NA,NA,5543.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,239186,148645,66895.7,55178.6,NA,NA,12563.2,25624,NA,15353.6,NA,NA,NA,NA,NA,NA,11855.6,NA,44910.2,NA,NA,18124.2,40598.5,16273.7,NA,NA,2889.54,89739.1,NA,64196.9,41481.7,10023.5,33450.5,NA,NA,50448.9,70962.4,61047.4,NA,NA,83770.9,43482.5,13247,NA,NA,22717.3,47589.6,11326.7,24107,55374.1,NA,224473,13667.6,NA,NA,1548730,10911,16946,15624.7,20728.6,NA,3028800,6610.02,29680,108550,14744.3,NA,14674.6,35339.4,29185.8,74076.4,36099.8,11193.9,NA,10465,66028.5,47010.9,NA,NA,NA,286664,162002,NA,NA,NA,16344.5,NA,47450,24221.4,31830.9,NA,NA,121865,62996.6,50826.2,30745.3,28203.3,119181,41989.4,NA
"A0A0J9YYC4;P08708",233446,362301,273192,640207,494942,377617,NA,367484,417038,155601,NA,292872,421775,395478,381610,444812,311042,272784,317966,547318,251821,NA,NA,247939,440162,NA,320199,177756,NA,NA,NA,209763,NA,NA,232386,NA,NA,NA,NA,NA,NA,NA,NA,NA,484749,NA,NA,NA,NA,NA,NA,383461,NA,203217,153738,395693,NA,172258,NA,NA,NA,NA,NA,NA,NA,205357,377073,107455,58666.7,609138,NA,NA,NA,161297,197136,236923,133095,141382,275246,306437,NA,271591,NA,NA,226947,NA,NA,494440,NA,NA,218417,NA,NA,431618,203542,554876,374341,324476,NA,402892,281200,349275,800765,445048,347181,371297,419117,376339,339167,416225,316989,511807,719234,387834,372782,457827,410398,401998,493673,352592,329677,613888,NA,287967,227748,165128,NA,297680,NA,157494,258135,351357,348752,311409,489827,NA,NA,335122,248316,183581,247252,NA,NA,NA,176282,287271,236437,180783,954514,359176,378067,NA,350261,403019,NA,NA,NA
"A0A0U1RQV5;P56537",528490,451900,599186,596620,590847,426736,500421,723604,647142,177804,410863,681638,728862,635408,243334,542565,536334,649870,548859,619893,620133,241552,382128,839225,541195,338330,757189,432737,393744,344139,432046,1107890,397674,632222,630918,412415,457608,183935,770703,455476,329997,151499,404078,382614,414396,339132,413871,422894,587972,327532,577415,633770,818818,639570,780125,771444,519921,602248,748878,570396,538917,524210,311080,273912,452105,561025,271338,390149,216914,221908,625850,313308,352703,797264,287532,413389,218412,515801,591762,619236,344072,404969,1112820,480951,298854,636101,253475,237568,501088,498202,304101,386194,367625,1310530,273200,191590,436369,500227,719381,425106,477541,354705,999826,654830,327314,484464,690713,485906,1320150,800308,118951,275402,984087,772068,635527,935897,572064,939494,426779,630640,410381,588771,469007,631230,559479,809755,583335,661495,139459,589875,601180,1036110,496013,429757,403724,292445,591162,691902,692066,463436,849260,438006,456538,368181,482853,340217,488476,133306,357838,236258,648083,278998,629147,473422,414742,392267,638997
"A0A2R8Y619;Q8N257",1545030,273843,NA,1806460,549747,237852000,178572,303274,NA,1638770,288039,NA,NA,NA,473584,9256840,702217,76002.1,64712.3,NA,NA,5797780,2839280,785349,549548,1184790,NA,NA,NA,2057450,369406,156640,NA,NA,NA,NA,538516,NA,NA,2911060,404110,6749470,NA,3449460,131714,1651630,1571140,678333,1000910,2891930,NA,399546,2736670,502674,3157670,59315.5,NA,715235,NA,474381,153719,1457360,827806,229767,NA,7729480,183751,NA,2421230,576446,2288840,2453570,NA,100273,NA,97398.6,2969410,229157,41147.5,NA,2435440,400282,88897.5,NA,156698,336231,NA,516437,1725640,628029,1559970,720577,88216.8,1362730,NA,1405970,8585080,NA,NA,257629,NA,1038150,NA,NA,NA,150074,NA,1190290,NA,NA,1748610,3994970,NA,NA,302209,NA,NA,NA,NA,NA,1970000,45046.3,193340,570499,4471390,NA,NA,NA,NA,NA,373706,28018.4,NA,NA,1950680,1863700,482702,161106,45474.6,5200470,711450,4174640,905812,80405.4,148856,NA,NA,1528980,1331610,NA,NA,NA,18852.6,NA,NA,NA,835764
"A0AUZ9",378455,25181.6,127226,119911,37168.8,132378,31805.3,210536,68263.6,471306,62570.3,479563,76164.8,467287,81634.1,144761,54553.9,147024,73637.3,77209.5,93019.6,487032,464120,304602,67533.4,229054,35972.2,193549,116653,215024,65192.3,56377.7,118912,348465,49987.1,123054,187573,285832,275241,150379,37255.7,312249,25133.1,241081,11892.3,93386.7,171612,52278.5,134859,96648.3,27640.8,20494.7,246758,66316.6,303885,34887.9,239957,302134,72222.8,267604,85748.1,417253,63239.9,343178,33701.5,194491,45711.8,344733,213555,29150.9,62940.1,260102,9970.25,83524.8,258330,100552,18279.8,23764.7,580953,125026,287195,30837.7,366327,126839,420718,22261.7,275020,160204,188108,765630,217869,127338,249302,133143,307103,118637,512927,112352,63479.2,NA,220396,101539,74733.7,207785,211837,158087,167360,116028,84597.9,174342,219438,172066,177359,273992,112515,83526.7,273606,82392.3,328478,17523,76563.9,81476.5,162547,43697.2,346973,339226,264150,97688.9,421294,106087,32525.1,543748,165007,152793,344225,513043,60243.5,310009,200009,428226,211752,247766,104086,481972,390158,221435,166393,528678,68140.2,363011,103198,180234,125746,125246,197566,51460.8,710908
"A0AVT1",410026,410004,301631,567292,295943,383249,208750,423293,295111,311080,202386,279429,198024,161095,243202,355844,292688,410771,316263,423767,362711,701169,336815,127367,300384,321476,200864,794125,349596,222294,303548,1248230,345229,216279,273363,214586,201262,371546,214455,248119,496411,301912,298774,401621,298911,136959,229224,339266,357998,309535,22291.7,575469,230832,354491,237547,299220,160633,223304,265984,521203,334030,414202,321886,255688,229849,585283,304372,472260,893935,302670,330318,588593,448067,203373,528053,151929,552699,386013,663454,293301,428913,385113,144524,278617,280259,407796,309175,396382,347577,410435,215144,293545,462756,362877,283668,157638,577271,290857,358823,44591.8,296849,269770,161063,240089,149625,242704,362494,163853,203996,149536,227759,225173,312205,128516,112228,198158,90572.7,345366,263608,229857,252814,166351,379376,453265,507573,153246,259638,835479,NA,336065,476680,361153,342696,336929,590966,255201,382745,277262,347496,596009,368411,360868,288559,324905,377132,316823,285261,369217,294082,324393,265019,416853,221339,402095,174208,288817,229174
"A0FGR8",58963.8,129498,56329.9,32968.8,111940,100095,70490.2,86976.7,38018.6,122955,NA,67377.7,NA,75278.3,20914.4,41867.4,NA,67222,66123.3,135267,72897.9,47447.9,111297,57701.9,15044.2,35037.3,72384,71902.9,56006.8,49106.5,NA,183653,125810,71928.1,43126.9,NA,56444.5,128755,52043.8,182210,37512.8,14537,NA,46404,NA,47274.3,41154.8,NA,129353,51342.3,105822,54589.9,92355.3,34978.2,119689,NA,47385.4,93408.4,45404.5,79148.5,64772.5,68585.3,20056.1,120865,69862.4,59624.7,102986,110061,200816,122350,132150,NA,45275.2,53271.1,127391,41930.7,NA,NA,95623,40608.4,128551,22963.1,69562.9,76397.6,78230.6,26870.4,75634.7,43818.5,117805,87360.7,152104,NA,115060,116588,205053,47978.9,NA,52793.5,72980,31298.5,55398.8,68148.4,75198.8,56739.4,78155.8,84365.4,68914.7,97299.3,134672,NA,NA,51058.4,56903.8,51786.8,174547,46327.1,95161,35077.9,40940.8,31844.7,31041.3,58122.7,106371,58849.1,69524.6,107970,47903.1,126915,59925,66581.3,82177.5,90457.5,144975,68465.4,180323,136279,53813,52738.4,57457.9,64961.7,NA,71862.3,116344,70623,63184.4,108032,65702.9,41100.6,45383.7,124517,40845.8,155019,163231,82742,109872,43700.7,211640
