"","TW504.raw","TW505.raw","TW506.raw","TW507.raw","TW508.raw","TW509.raw","TW510.raw","TW511.raw","TW512.raw","TW513.raw","TW514.raw","TW515.raw"
"A0A024RBG1",123941,186996,NA,NA,NA,90993.8,NA,NA,99984.1,NA,359553,NA
"A0A075B5R1",NA,68907.6,NA,57205,NA,NA,NA,NA,NA,NA,NA,NA
"A0A075B6Z5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38424.7
"A0A087WRT7",NA,69337.7,NA,NA,NA,169918,37598.4,37400.9,69545,55052,NA,NA
"A0A087WTH5",1415300,NA,NA,NA,NA,235586,NA,891638,NA,NA,NA,NA
"A0A0A6YYE8",NA,198584,NA,583891,NA,NA,NA,NA,NA,NA,NA,NA
"A0A0G2JG52",NA,NA,NA,NA,NA,NA,NA,66151.5,NA,NA,NA,NA
"A0A0N4SVU1",68277.2,NA,NA,NA,NA,NA,269385,44549.6,NA,286205,54497.9,146165
"A0A0U1RNG7",NA,NA,NA,NA,100117,NA,NA,137732,NA,124410,233743,NA
"A0A0U1RRL7",NA,155412,NA,NA,111204,339899,NA,NA,52727.2,NA,133719,NA
"A0A140LHH9",NA,NA,NA,NA,132034,129609,168600,223177,NA,106826,331398,NA
"A0A140LJ72",NA,NA,171324,121428,326031,249926,353302,403509,99474,263858,NA,548710
"A0A140T8M2",NA,261700,NA,786070,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1B0GRV7",NA,39712.4,34149,NA,29196,34147.4,78145.7,44620.2,24925.8,23709.5,NA,NA
"A0A1B0GRY3",195532,195658,199580,319694,352349,165686,105161,256007,207768,382477,250232,159074
"A0A1B0GVB3",28464.9,70987.5,NA,78946.8,64346.4,39064.9,NA,126894,NA,NA,NA,NA
"A0A1D5RLM8",97788.6,NA,234091,NA,NA,NA,NA,NA,336961,125098,NA,NA
"A0A1L1SQU7",222067,183090,109068,89592.4,115701,109094,145478,160695,208810,111853,157238,30937.7
"A0A1W2P6U8",NA,148521,32990.2,216959,92370.6,NA,NA,NA,96176.8,NA,NA,NA
"A0A1W2PPF3",117870,42479.6,106247,38971.1,18111.7,98552.8,184812,61683.2,NA,102094,NA,106827
"A0A1W2PR95",43890.9,NA,49029.3,89212.8,74839.9,NA,64351.4,NA,51406.4,NA,44835.8,NA
"A0A2R8VJU7",NA,NA,NA,NA,NA,NA,204043,24641.6,NA,NA,NA,NA
"A0A338P6S8",NA,NA,NA,137080,58926.5,481511,NA,52752.7,35981.5,79137,169376,NA
"A0A3Q4EG79",NA,NA,NA,NA,NA,218413,127209,NA,NA,149562,NA,NA
"A0AV96",491868,461024,139702,318181,340010,157918,224347,307554,NA,390254,371458,300816
"A0AVT1",323237,614109,541020,637321,296639,349027,896680,474589,545290,513300,351599,654865
"A0FGR8",686419,235462,257408,471184,658940,1144150,1478630,565316,393475,609830,593186,147175
"A0MZ66",277158,210641,212569,340930,414884,214313,212198,257723,103763,54218.8,244974,254572
"A1L0T0",90315,191002,243892,301483,194330,174327,187995,295435,79793.3,166714,117252,82219.8
