"","TW504","TW505","TW506","TW507","TW508","TW509","TW510","TW511","TW512","TW513","TW514","TW515"
"A0A024RBG1",118172,182625,65275,NA,50221.9,96328,NA,NA,102220,NA,340300,NA
"A0A0C4DH28",NA,NA,NA,NA,NA,NA,NA,123566,24190.5,NA,NA,NA
"A0A0J9YWL9",NA,NA,NA,NA,NA,236435,NA,NA,NA,NA,NA,22940.3
"A0A0U1RRL7",NA,152324,NA,83666.9,91343.3,NA,NA,NA,94795.2,NA,NA,NA
"A0A1B0GTZ2",444376,283958,NA,149254,409160,NA,NA,NA,1023660,NA,1205500,243044
"A0A1B0GVB3",NA,NA,NA,91565.2,41713.2,41538.2,NA,NA,NA,NA,NA,32562.4
"A0A1W2PR95",NA,NA,147262,NA,129946,NA,NA,NA,NA,NA,NA,NA
"A0A2R8YFR7",185179,NA,NA,170367,135669,235982,327313,NA,NA,NA,NA,199893
"A0AV96",546166,457410,101854,375781,343436,212951,231021,285936,NA,422806,411202,269609
"A0AVT1",554558,1209340,1078170,1449220,614445,817672,2013860,1033890,1037500,1231630,727457,1361880
"A0FGR8",547230,242905,171158,377046,632868,1166180,1343010,769570,343927,671318,634684,238828
"A0MZ66",298395,234500,199490,373493,407533,196472,188122,272772,102424,83499.8,237349,252075
"A1L0T0",303576,566124,778217,1009790,605214,536662,610551,913030,267641,552643,448167,272700
"A1X283",NA,174780,78554.6,69638.7,172814,NA,NA,62491.8,186018,NA,211781,155950
"A2A3L6",NA,296566,NA,NA,216320,410808,373500,NA,186815,412563,516986,294053
"A2RRP1",66123.4,183586,51065.8,154865,111148,100142,137988,163080,133432,105259,120585,83755.6
"A2RUB1",NA,NA,NA,NA,NA,3159020,NA,NA,427646,NA,NA,NA
"A2RUC4",39322.5,39021.1,126886,NA,64393.9,48476.7,NA,47775.9,97627.9,45337.7,46417.5,102554
"A2RUR9",NA,290534,265290,353919,NA,NA,453504,308971,45378.5,109488,NA,233725
"A3KMH1",56001.6,191033,68040.4,149759,153146,267801,260229,122697,78229.9,147404,231527,208642
"A3KN83",111970,176671,58129.5,NA,101310,117877,NA,86784.6,91472.2,187865,116918,146678
"A4D1E1",127599,122129,144421,45870.6,NA,73853.2,NA,65417.7,26147.5,55985,NA,173943
"A4D1E9",32726.5,89630.9,68435.8,55478.1,26989.5,15357.5,53859.3,89297.8,29539.9,42477.9,NA,50275.7
"A4D1P6",41724.4,97868.4,170513,313541,39539.9,161156,159928,56576.2,85157,74135.9,108174,87577.9
"A4D1S5",NA,NA,NA,NA,NA,71781.3,209873,33229.9,NA,NA,NA,NA
"A4D1U4",32771.1,103352,NA,NA,46346.6,78570.1,74842.5,NA,NA,NA,138742,NA
"A4D256",16285.3,NA,NA,96562.6,126759,69078.6,NA,173992,NA,NA,60424,105558
"A4D2P6",NA,NA,NA,NA,18380.9,NA,NA,NA,NA,NA,NA,NA
"A4UGR9",463832,191041,2537610,540056,98786,438499,482814,607314,444894,1256810,391793,888700
"A5D8V6",NA,19679.4,28876.4,79730.7,22611.2,NA,NA,25755.2,NA,NA,NA,NA
"A5PLL7",NA,NA,NA,NA,NA,NA,NA,NA,17676.2,NA,NA,NA
"A5PLN9",84882.5,178771,NA,NA,58779.7,261615,211635,345307,NA,174612,NA,293193
"A5YKK6",655327,533408,213356,397491,430582,491547,416791,379230,311299,553724,570877,332307
"A6H8M9",NA,109199,46820.2,NA,115812,NA,NA,NA,29152.5,70559.4,NA,94734.2
"A6NCS6",352853,NA,556899,128052,NA,NA,NA,NA,NA,NA,NA,NA
"A6NDB9",NA,88450.1,24575,927222,46189.8,NA,141688,84397.7,NA,NA,NA,NA
"A6NDG6",440952,1261990,1272830,524872,606934,854685,663800,1226890,258606,654712,1474290,890658
"A6NDU8",18413,20811.9,NA,NA,11273.2,20470.6,13022.7,NA,23229,NA,NA,32978.7
"A6NE52",NA,NA,NA,NA,14588.8,NA,277577,NA,NA,NA,NA,NA
"A6NHL2",691272,1506240,1770440,633680,1517870,593371,1433900,1076720,952201,1349980,949963,1485360
"A6NHQ2",305395,418783,363896,233913,223687,174864,NA,102220,284247,132289,NA,255313
"A6NHR9",212898,174209,67211.4,80799.3,198171,89339.9,74540.1,42178.8,67158.8,169301,83513.8,152987
"A6NI56",743676,906876,NA,224591,309295,1423330,2006080,1221320,1261920,NA,269527,147076
"A6NI73",194038,211922,32610.7,208497,79002.3,737054,586025,221298,219883,261962,239119,NA
"A6NIH7",NA,292907,288812,294841,335422,NA,296232,NA,NA,NA,287264,304841
"A6NIK2",NA,706952,NA,1170730,NA,853545,NA,NA,NA,508115,781014,NA
"A6NK58",NA,75543.2,70647.8,NA,NA,NA,70653.9,NA,NA,NA,NA,NA
"A6NKF2",337884,143729,NA,386714,296082,278296,1046660,596481,429414,289971,427286,334104
"A6NKG5",NA,NA,NA,NA,NA,NA,NA,NA,73061.1,NA,NA,800534
"A6NKP2",666849,107004,530686,1725480,615087,166828,NA,291102,1064360,788427,754161,NA
"A6NL82",569455,518724,118784,NA,NA,NA,NA,NA,NA,NA,NA,267209
"A6NM43",102514,12913.7,169313,NA,NA,NA,NA,35527,NA,116375,NA,104062
"A6NNA5",NA,NA,NA,NA,NA,NA,NA,28551.8,NA,NA,NA,NA
"A6NNF4",250410,NA,26065.9,NA,NA,52045.7,73189.1,NA,NA,NA,NA,268116
"A6NNM8",NA,NA,79341.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6NNY8",NA,NA,NA,NA,NA,NA,NA,NA,382068,NA,NA,NA
"A7KAX9",NA,NA,NA,NA,NA,NA,198790,NA,NA,60174.8,NA,NA
"A8K2U0",3802680,3704920,1999480,3119270,2408110,1190680,926314,2835980,2166950,3468950,3859110,2003740
"A8MTL9",NA,NA,7326.92,NA,NA,37481.5,20963.1,17524.2,14625.7,28032,29782.8,NA
"A8MVX0",606765,687337,NA,785425,290587,281370,156669,605895,NA,515635,553156,NA
"A8MXT2",169011,82776.2,78790,NA,105760,173635,102128,110640,126054,138848,208828,51823.6
"A8MXV4",44530.2,51713.7,16395.3,38482.8,23540.6,111154,90015,87715.6,129471,20068.9,78345.4,480102
"A8MZF0",478818,297837,479941,197061,305816,209839,153380,NA,NA,244232,NA,NA
"A8TX70",328082,254404,NA,327498,73652,95142.5,226680,274781,NA,148517,199686,170216
"B0I1T2",NA,265168,NA,NA,NA,NA,NA,142151,NA,NA,NA,NA
"B1AJZ9",NA,NA,247697,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B3SHH9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41386.8
"B4E2M5",NA,NA,NA,NA,NA,NA,NA,NA,24292.6,NA,NA,NA
"C9J069",NA,NA,35421.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C9JI98",NA,NA,NA,203757,545339,NA,NA,177681,NA,72354,141586,NA
"C9JLW8",NA,NA,439802,NA,102010,91085.4,NA,76732.5,138237,226160,102070,96323.7
"C9JRZ8",NA,NA,NA,NA,NA,121690,NA,37276.6,NA,133195,NA,NA
"D6REC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108550
"E7EW31",NA,NA,121668,353318,NA,NA,NA,NA,NA,NA,NA,NA
"E9PAV3",1125310,1812710,3958310,2372200,1785960,1749640,1893730,1950210,2643290,3416790,2304790,3128180
"E9PRG8",428588,854121,613581,421560,298021,NA,161144,210221,330805,231148,70465.1,384017
"O00115",NA,139371,NA,381443,116417,117582,113465,60804.1,85012,180855,30457.4,NA
