Entry	Protein names	Gene names	Organism	Entry name
P10076	Zinc finger protein 26 (Zfp-26) (Protein mKR3)	Zfp26 Kiaa4196 Mkr3 Zfp-26	Mus musculus (Mouse)	ZFP26_MOUSE
B2RRE4	Zinc finger protein 518B	Znf518b Kiaa1729 Zfp518b	Mus musculus (Mouse)	Z518B_MOUSE
Q8BHZ4	Zinc finger protein 592 (Zfp-592)	Znf592 Kiaa0211 Zfp592	Mus musculus (Mouse)	ZN592_MOUSE
Q9D115	Zinc finger protein 706	Znf706 Zfp706	Mus musculus (Mouse)	ZN706_MOUSE
G5E8B9	Zinc finger and BTB domain-containing protein 11	Zbtb11	Mus musculus (Mouse)	ZBT11_MOUSE
Q9D0B1	Zinc finger protein 524	Znf524 Zfp524	Mus musculus (Mouse)	ZN524_MOUSE
O88291	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs) (Zinc finger protein-associated with nuclear matrix of 75 kDa)	Znf326 Zan75 Zfp326 Zird	Mus musculus (Mouse)	ZN326_MOUSE
Q6TAC4	Vomeronasal type-2 receptor 26 (Putative pheromone receptor V2R1b) (Vomeronasal type-2 receptor 1b)	Vmn2r26 V2r1b	Mus musculus (Mouse)	V2R26_MOUSE
Q9EP79	Vomeronasal type-1 receptor 52 (Pheromone receptor VN3) (Vomeronasal receptor 3) (Vomeronasal type-1 receptor A7)	Vmn1r52 V1ra7	Mus musculus (Mouse)	V1R52_MOUSE
P83853	Vam6-like protein (Fragment)		Mus musculus (Mouse)	VAM6L_MOUSE
Q14BV6	Carbohydrate deacetylase (EC 3.5.1.-)	Ydjc	Mus musculus (Mouse)	YDJC_MOUSE
Q6P9Y7	Zinc finger protein 82 (Zfp-82) (Zinc finger protein 545)	Zfp82 Kiaa1948 Znf545	Mus musculus (Mouse)	ZFP82_MOUSE
Q8BID6	Zinc finger and BTB domain-containing protein 46 (BTB-ZF protein expressed in effector lymphocytes) (BZEL) (BTB/POZ domain-containing protein 4)	Zbtb46 Btbd4	Mus musculus (Mouse)	ZBT46_MOUSE
Q91X45	Zinc finger and BTB domain-containing protein 3	Zbtb3	Mus musculus (Mouse)	ZBTB3_MOUSE
Q8BIY3	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma homolog) (Zinc finger CCCH domain-containing protein 12D)	Zc3h12d Mcpip4 Tfl	Mus musculus (Mouse)	ZC12D_MOUSE
Q9D2D7	Zinc finger protein 687	Znf687 Kiaa1441 Zfp687	Mus musculus (Mouse)	ZN687_MOUSE
A2A5E6	Zinc finger protein 385C	Znf385c Zfp385c	Mus musculus (Mouse)	Z385C_MOUSE
B1AWL2	Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)	Znf462 Zfp462	Mus musculus (Mouse)	ZN462_MOUSE
Q8BG89	Protein ZNF365 (DISC1-binding zinc-finger protein) (Su48)	Znf365 Dbz Kiaa0844 Zfp365	Mus musculus (Mouse)	ZN365_MOUSE
Q3TNU4	Putative uncharacterized protein ENSP00000382790 homolog	Gm3414	Mus musculus (Mouse)	YD021_MOUSE
Q8K0C5	Zymogen granule membrane protein 16 (Zymogen granule protein 16) (Secretory lectin ZG16)	Zg16	Mus musculus (Mouse)	ZG16_MOUSE
Q5Y5T1	Palmitoyltransferase ZDHHC20 (EC 2.3.1.225) (Acyltransferase ZDHHC20) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 20) (DHHC-20) (Zinc finger DHHC domain-containing protein 20)	Zdhhc20	Mus musculus (Mouse)	ZDH20_MOUSE
Q9Z0G7	Zinc finger and BTB domain-containing protein 22 (Protein BING1) (Zinc finger protein 297)	Zbtb22 Bing1 Zfp297 Znf297	Mus musculus (Mouse)	ZBT22_MOUSE
Q8BQQ1	Palmitoyltransferase ZDHHC14 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 14) (DHHC-14) (NEW1 domain-containing protein) (NEW1CP) (Zinc finger DHHC domain-containing protein 14)	Zdhhc14	Mus musculus (Mouse)	ZDH14_MOUSE
A2A791	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	Zmym4 Kiaa0425 Zfp262 Znf262	Mus musculus (Mouse)	ZMYM4_MOUSE
Q99ME2	WD repeat-containing protein 6 (mWDR6)	Wdr6	Mus musculus (Mouse)	WDR6_MOUSE
Q8VDJ3	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	Hdlbp	Mus musculus (Mouse)	VIGLN_MOUSE
Q9QYC7	Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)	Ggcx	Mus musculus (Mouse)	VKGC_MOUSE
Q8C407	Protein YIPF4 (YIP1 family member 4)	Yipf4	Mus musculus (Mouse)	YIPF4_MOUSE
P20662	Zinc finger Y-chromosomal protein 2	Zfy2 Zfy-2	Mus musculus (Mouse)	ZFY2_MOUSE
Q9CPW7	Zinc finger matrin-type protein 2	Zmat2	Mus musculus (Mouse)	ZMAT2_MOUSE
Q80YR4	E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)	Znf598 Zfp598	Mus musculus (Mouse)	ZN598_MOUSE
Q9Z1K8	Y+L amino acid transporter 1 (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1)	Slc7a7	Mus musculus (Mouse)	YLAT1_MOUSE
Q9QY66	Zinc finger HIT domain-containing protein 2 (Protein FON)	Znhit2 ORF6	Mus musculus (Mouse)	ZNHI2_MOUSE
Q8CFL8	Zinc finger SWIM domain-containing protein 3	Zswim3	Mus musculus (Mouse)	ZSWM3_MOUSE
Q6PIU9	Uncharacterized protein FLJ45252 homolog		Mus musculus (Mouse)	YJ005_MOUSE
Q8BZ89	Zinc finger protein 322 (Zinc finger protein 322A)	Znf322 Zfp322a Znf322a	Mus musculus (Mouse)	ZN322_MOUSE
